year,net_debt_pct_gdp,is_projection,resid_std,r2
2015-16,23.4,False,,
2016-17,22.9,False,,
2017-18,23.6,False,,
2018-19,24.4,False,,
2019-20,31.9,False,,
2020-21,37.7,False,,
2021-22,33.3,False,,
2022-23,30.4,False,,
2023-24,31.6,False,,
2024-25,34.4,False,,
2025-26,36.90666666666675,True,3.205306206712262,0.601882173461306
2026-27,38.27878787878808,True,3.205306206712262,0.601882173461306
2027-28,39.650909090908954,True,3.205306206712262,0.601882173461306
2028-29,41.02303030303028,True,3.205306206712262,0.601882173461306
2029-30,42.39515151515161,True,3.205306206712262,0.601882173461306
